id,resume_text,jd_text,score,label,resume_role,jd_title
neg_6,"DevOps Engineer Resume

SUMMARY
DevOps Engineer with 5 years of experience in software development.

EDUCATION
BS Computer Science

SKILLS
AWS, Terraform, Jenkins, Docker, Kubernetes

EXPERIENCE
DevOps Engineer | Tech Company | 5 years
- Led development of CI/CD pipeline automation
- Contributed to Infrastructure as code
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
CI/CD pipeline automation: Built using AWS and Terraform
Infrastructure as code: Implemented with Jenkins and Docker","Full Stack Developer Position

ABOUT THE ROLE
We are seeking a talented Full Stack Developer with 2-4 years of experience.

REQUIRED SKILLS
JavaScript, React, Node.js, MongoDB

PREFERRED SKILLS
AWS, TypeScript, GraphQL

RESPONSIBILITIES
- Build web applications - Frontend and backend development

QUALIFICATIONS
['BS in Software Engineering or equivalent']
Required experience: 2-4 years",10.0,0,DevOps Engineer,Full Stack Developer
neg_5,"Backend Developer Resume

SUMMARY
Backend Developer with 5 years of experience in software development.

EDUCATION
BS Computer Science

SKILLS
Python, Django, PostgreSQL, REST API, Docker

EXPERIENCE
Backend Developer | Tech Company | 5 years
- Led development of E-commerce platform
- Contributed to Payment gateway integration
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
E-commerce platform: Built using Python and Django
Payment gateway integration: Implemented with PostgreSQL and REST API","Senior Java Developer Position

ABOUT THE ROLE
We are seeking a talented Senior Java Developer with 5+ years of experience.

REQUIRED SKILLS
Java, Spring Boot, MySQL, Microservices

PREFERRED SKILLS
Kubernetes, AWS, Redis

RESPONSIBILITIES
- Lead development team - Architecture design

QUALIFICATIONS
['BS in Computer Engineering with 5+ years experience']
Required experience: 5+ years",0.0,0,Backend Developer,Senior Java Developer
pos_2,"Machine Learning Engineer Resume

SUMMARY
Machine Learning Engineer with 4 years of experience in software development.

EDUCATION
MS Data Science

SKILLS
Python, TensorFlow, PyTorch, scikit-learn, Pandas

EXPERIENCE
Machine Learning Engineer | Tech Company | 4 years
- Led development of Recommendation system
- Contributed to Image classification model
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Recommendation system: Built using Python and TensorFlow
Image classification model: Implemented with PyTorch and scikit-learn","Machine Learning Engineer Position

ABOUT THE ROLE
We are seeking a talented Machine Learning Engineer with 3-5 years of experience.

REQUIRED SKILLS
Python, TensorFlow, PyTorch, Machine Learning

PREFERRED SKILLS
Deep Learning, NLP, Computer Vision

RESPONSIBILITIES
- Develop ML models - Deploy models to production

QUALIFICATIONS
['MS in Data Science or Machine Learning']
Required experience: 3-5 years",52.5,1,Machine Learning Engineer,Machine Learning Engineer
neg_2,"Machine Learning Engineer Resume

SUMMARY
Machine Learning Engineer with 4 years of experience in software development.

EDUCATION
MS Data Science

SKILLS
Python, TensorFlow, PyTorch, scikit-learn, Pandas

EXPERIENCE
Machine Learning Engineer | Tech Company | 4 years
- Led development of Recommendation system
- Contributed to Image classification model
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Recommendation system: Built using Python and TensorFlow
Image classification model: Implemented with PyTorch and scikit-learn","Data Analyst Position

ABOUT THE ROLE
We are seeking a talented Data Analyst with 1-3 years of experience.

REQUIRED SKILLS
SQL, Tableau, Excel, Python

PREFERRED SKILLS
Power BI, Statistics, Data Visualization

RESPONSIBILITIES
- Create dashboards - Analyze business data

QUALIFICATIONS
['BS in Business Analytics or Statistics']
Required experience: 1-3 years",17.5,0,Machine Learning Engineer,Data Analyst
pos_7,"DevOps Engineer Resume

SUMMARY
DevOps Engineer with 5 years of experience in software development.

EDUCATION
BS Computer Science

SKILLS
AWS, Terraform, Jenkins, Docker, Kubernetes

EXPERIENCE
DevOps Engineer | Tech Company | 5 years
- Led development of CI/CD pipeline automation
- Contributed to Infrastructure as code
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
CI/CD pipeline automation: Built using AWS and Terraform
Infrastructure as code: Implemented with Jenkins and Docker","DevOps Engineer Position

ABOUT THE ROLE
We are seeking a talented DevOps Engineer with 4-6 years of experience.

REQUIRED SKILLS
AWS, Docker, Kubernetes, CI/CD

PREFERRED SKILLS
Terraform, Jenkins, Monitoring tools

RESPONSIBILITIES
- Automate infrastructure - Manage deployments

QUALIFICATIONS
['BS in Computer Science with DevOps experience']
Required experience: 4-6 years",72.5,1,DevOps Engineer,DevOps Engineer
neg_9,"Mobile Developer Resume

SUMMARY
Mobile Developer with 3 years of experience in software development.

EDUCATION
BS Information Technology

SKILLS
React Native, Flutter, iOS, Android, Firebase

EXPERIENCE
Mobile Developer | Tech Company | 3 years
- Led development of Fitness tracking app
- Contributed to Food delivery application
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Fitness tracking app: Built using React Native and Flutter
Food delivery application: Implemented with iOS and Android","DevOps Engineer Position

ABOUT THE ROLE
We are seeking a talented DevOps Engineer with 4-6 years of experience.

REQUIRED SKILLS
AWS, Docker, Kubernetes, CI/CD

PREFERRED SKILLS
Terraform, Jenkins, Monitoring tools

RESPONSIBILITIES
- Automate infrastructure - Manage deployments

QUALIFICATIONS
['BS in Computer Science with DevOps experience']
Required experience: 4-6 years",0.0,0,Mobile Developer,DevOps Engineer
neg_7,"Machine Learning Engineer Resume

SUMMARY
Machine Learning Engineer with 4 years of experience in software development.

EDUCATION
MS Data Science

SKILLS
Python, TensorFlow, PyTorch, scikit-learn, Pandas

EXPERIENCE
Machine Learning Engineer | Tech Company | 4 years
- Led development of Recommendation system
- Contributed to Image classification model
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Recommendation system: Built using Python and TensorFlow
Image classification model: Implemented with PyTorch and scikit-learn","Frontend Developer Position

ABOUT THE ROLE
We are seeking a talented Frontend Developer with 2-3 years of experience.

REQUIRED SKILLS
HTML, CSS, JavaScript, React

PREFERRED SKILLS
Vue.js, TypeScript, Responsive Design

RESPONSIBILITIES
- Build user interfaces - Optimize web performance

QUALIFICATIONS
['BS in Web Design or Computer Science']
Required experience: 2-3 years",0.0,0,Machine Learning Engineer,Frontend Developer
pos_5,"Data Analyst Resume

SUMMARY
Data Analyst with 2 years of experience in software development.

EDUCATION
BS Business Analytics

SKILLS
Tableau, Power BI, SQL, Python, Excel

EXPERIENCE
Data Analyst | Tech Company | 2 years
- Led development of Sales dashboard
- Contributed to Customer segmentation analysis
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Sales dashboard: Built using Tableau and Power BI
Customer segmentation analysis: Implemented with SQL and Python","Data Analyst Position

ABOUT THE ROLE
We are seeking a talented Data Analyst with 1-3 years of experience.

REQUIRED SKILLS
SQL, Tableau, Excel, Python

PREFERRED SKILLS
Power BI, Statistics, Data Visualization

RESPONSIBILITIES
- Create dashboards - Analyze business data

QUALIFICATIONS
['BS in Business Analytics or Statistics']
Required experience: 1-3 years",80.0,1,Data Analyst,Data Analyst
pos_1,"Full Stack Developer Resume

SUMMARY
Full Stack Developer with 3 years of experience in software development.

EDUCATION
BS Software Engineering

SKILLS
JavaScript, React, Node.js, MongoDB, AWS

EXPERIENCE
Full Stack Developer | Tech Company | 3 years
- Led development of Social media dashboard
- Contributed to Real-time chat application
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Social media dashboard: Built using JavaScript and React
Real-time chat application: Implemented with Node.js and MongoDB","Full Stack Developer Position

ABOUT THE ROLE
We are seeking a talented Full Stack Developer with 2-4 years of experience.

REQUIRED SKILLS
JavaScript, React, Node.js, MongoDB

PREFERRED SKILLS
AWS, TypeScript, GraphQL

RESPONSIBILITIES
- Build web applications - Frontend and backend development

QUALIFICATIONS
['BS in Software Engineering or equivalent']
Required experience: 2-4 years",80.0,1,Full Stack Developer,Full Stack Developer
pos_9,"Full Stack Developer Resume

SUMMARY
Full Stack Developer with 3 years of experience in software development.

EDUCATION
BS Software Engineering

SKILLS
JavaScript, React, Node.js, MongoDB, AWS

EXPERIENCE
Full Stack Developer | Tech Company | 3 years
- Led development of Social media dashboard
- Contributed to Real-time chat application
- Collaborated with cross-functional teams
- Participated in code reviews and agile sprints

PROJECTS
Social media dashboard: Built using JavaScript and React
Real-time chat application: Implemented with Node.js and MongoDB","Full Stack Developer Position

ABOUT THE ROLE
We are seeking a talented Full Stack Developer with 2-4 years of experience.

REQUIRED SKILLS
JavaScript, React, Node.js, MongoDB

PREFERRED SKILLS
AWS, TypeScript, GraphQL

RESPONSIBILITIES
- Build web applications - Frontend and backend development

QUALIFICATIONS
['BS in Software Engineering or equivalent']
Required experience: 2-4 years",80.0,1,Full Stack Developer,Full Stack Developer
